"id","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15"
6403510090,2014-11-11,437500,4,2.5,2680,7513,2,FALSE,0,"3","8",2680,0,1998,0,"98059",47.4956,-122.161,2640,7243
7879600070,2014-10-24,269950,4,2.5,1960,7230,2,FALSE,0,"3","8",1960,0,2002,0,"98023",47.2855,-122.36,1850,7208
1025069192,2014-11-05,929000,4,3.25,4030,57499,2,FALSE,0,"3","9",4030,0,2002,0,"98053",47.6617,-122.026,3470,57499
2487200680,2015-02-24,447000,2,1,720,7500,1,FALSE,2,"3","6",720,0,1925,0,"98136",47.5185,-122.392,1390,5000
7604400114,2014-08-14,450000,4,2.5,2290,5515,2,FALSE,0,"3","8",2290,0,2006,0,"98106",47.5518,-122.357,1380,5515
4151800265,2015-03-06,550000,3,1,1010,6120,1,FALSE,0,"3","6",1010,0,1942,0,"98033",47.6648,-122.204,1260,5977
1048000060,2014-06-19,543000,3,2.25,1240,949,3,FALSE,0,"3","8",1240,0,2008,0,"98103",47.6488,-122.334,1310,1140
3720800070,2015-01-27,1100000,4,3,2880,5500,2,FALSE,0,"4","9",1920,960,1926,0,"98102",47.6448,-122.317,2110,5500
8835700250,2015-04-26,965000,4,2.5,3570,17411,2,FALSE,0,"3","10",3570,0,1990,0,"98075",47.5617,-122.03,3510,16153
9839300775,2014-07-10,655000,4,2.25,2170,4080,2,FALSE,0,"3","7",1920,250,1980,0,"98122",47.6124,-122.293,1890,4400
2025059150,2014-07-02,1038000,4,1.75,1440,13296,1,FALSE,0,"4","8",1440,0,1967,0,"98004",47.634,-122.204,3520,10802
2935400100,2014-05-22,625000,3,1.75,2060,12558,1,FALSE,0,"4","7",1350,710,1984,0,"98052",47.6659,-122.144,1850,8722
9406500310,2014-11-19,240000,2,1.5,1078,1263,2,FALSE,0,"3","7",1078,0,1990,0,"98028",47.7532,-122.244,1078,1263
7844200425,2015-04-14,525000,4,2,2680,14157,1,FALSE,0,"3","8",1460,1220,1966,0,"98188",47.4286,-122.292,2100,9199
7657600005,2014-10-31,249950,5,2,1730,7375,1,FALSE,0,"4","6",1730,0,1944,0,"98178",47.4953,-122.238,1550,7125
7977201845,2014-05-14,525000,3,1.75,1600,6120,1.5,FALSE,0,"3","7",1600,0,1924,0,"98115",47.6847,-122.291,1670,4590
345700040,2014-07-29,315000,2,1,1010,7338,2,FALSE,0,"4","7",1010,0,1981,0,"98056",47.5123,-122.19,1220,7719
4345000440,2015-02-23,241500,3,2,1310,7349,1,FALSE,0,"3","7",870,440,1995,0,"98030",47.3639,-122.186,1690,6580
8682291680,2015-03-17,558000,2,1.75,1930,4601,1,FALSE,0,"3","8",1930,0,2006,0,"98053",47.7196,-122.022,1670,4500
2473480780,2015-03-11,320000,3,2.25,1880,7350,1,FALSE,0,"3","8",1390,490,1984,0,"98058",47.4457,-122.123,1910,8400
9423400140,2014-06-09,450000,3,1.75,1640,13500,1,FALSE,0,"3","7",1110,530,1940,0,"98125",47.7164,-122.304,1770,12600
8562720230,2014-11-07,980000,4,3.25,3720,7150,2,FALSE,2,"3","11",3720,0,2007,0,"98027",47.5359,-122.069,4040,7442
9185700485,2015-04-01,2538000,4,3.5,4350,6000,2,FALSE,0,"5","10",2970,1380,1908,0,"98112",47.6277,-122.286,4190,7200
3276930370,2014-07-08,645000,4,2.5,2850,37522,2,FALSE,0,"3","9",2850,0,1987,0,"98075",47.5852,-121.992,2980,35280
9834201470,2014-12-18,303000,2,1.5,1000,1075,2,FALSE,0,"3","7",840,160,2007,0,"98144",47.5708,-122.288,1000,1083
4345000050,2014-06-30,245000,3,2.75,1300,14197,1,FALSE,0,"3","7",860,440,1996,0,"98030",47.3652,-122.183,1550,7596
8655000070,2014-06-01,1595000,5,3,3640,8239,2,FALSE,3,"3","10",2540,1100,1982,0,"98008",47.5842,-122.111,3330,10643
7384500110,2014-07-23,685000,3,2.5,3450,8000,3,FALSE,0,"4","8",2970,480,1927,1975,"98116",47.5605,-122.402,1880,6135
5035300850,2014-11-10,1385000,5,3.75,3290,6480,2,FALSE,0,"5","10",2190,1100,1938,0,"98199",47.653,-122.415,2010,7639
8138870060,2014-08-13,395825,2,2.5,1590,1679,2,FALSE,0,"3","8",1590,0,2012,0,"98029",47.5449,-122.011,1590,1680
7186800105,2015-01-12,236500,4,1,2140,4217,1.5,FALSE,0,"3","6",1320,820,1925,0,"98118",47.5484,-122.287,1720,5413
1328320920,2015-04-21,386000,4,2.25,2810,8560,1,FALSE,0,"3","8",1610,1200,1979,0,"98058",47.4437,-122.124,2400,7600
8156600210,2015-03-26,1285000,5,3.5,2980,5100,2,FALSE,0,"3","10",2370,610,2015,0,"98115",47.6782,-122.299,1780,5100
2113701080,2014-11-12,3e+05,2,1,1100,4010,1.5,FALSE,0,"5","6",1100,0,1920,0,"98106",47.5296,-122.351,980,4501
